"KPI";"Industry";"Estimate";"Std_Error";"Test_Statistic";"P_Value";"Signifikanz";"R_Squared"
"Loyalty";"beauty & health online shop market";" 5,588255";"1,40317";" 3,98259";"6,8170e-05";"***";"0,55850913"
"Loyalty";"Sonnenbrillen";" 4,072827";"2,18708";" 1,86222";"6,2572e-02";".";"0,19192880"
"Loyalty";"Outdoor-Mode";" 3,949290";"1,67382";" 2,35944";"1,8302e-02";"*";"0,27020195"
"Loyalty";"Laundry Detergent (Waschmittel)";" 3,882056";"1,60497";" 2,41878";"1,5573e-02";"*";"0,36020642"
"Loyalty";"Sauce & condiment market";" 3,734740";"1,81864";" 2,05359";"4,0015e-02";"*";"0,18693659"
"Loyalty";"Online Grocery & Meal Delivery";" 3,648115";"0,80313";" 4,54237";"5,5625e-06";"***";"0,58551942"
"Loyalty";"Sneakers/Sportschuhe";" 3,555948";"1,15227";" 3,08604";"2,0284e-03";"**";"0,40112167"
"Loyalty";"Sport & Outdoor Online-Shop Markt";" 3,551833";"1,27908";" 2,77686";"5,4888e-03";"**";"0,38050728"
"Loyalty";"Consumer electronics online shop";" 3,343193";"0,93650";" 3,56989";"3,5713e-04";"***";"0,46839458"
"Loyalty";"Rasierer & Klingen";" 3,328652";"1,58527";" 2,09973";"3,5752e-02";"*";"0,28884362"
"Loyalty";"Grocery stores (Lebensmittelläden)";" 3,202413";"0,82164";" 3,89760";"9,7152e-05";"***";"0,59965688"
"Loyalty";"Protein-Shakes & trinkfertige Mahlzeiten";" 3,159626";"1,21630";" 2,59774";"9,3839e-03";"**";"0,29408425"
"Loyalty";"Sportswear";" 3,149681";"0,86374";" 3,64657";"2,6576e-04";"***";"0,47508972"
"Loyalty";"Organic food (Bio-Lebensmittel)";" 3,071642";"1,83591";" 1,67309";"9,4310e-02";".";"0,15080946"
"Loyalty";"Online-Shop für Heimtierbedarf";" 2,955325";"1,38843";" 2,12853";"3,3293e-02";"*";"0,31496840"
"Loyalty";"Fleischersatzprodukte";" 2,932944";"0,88127";" 3,32807";"8,7450e-04";"***";"0,42961925"
"Loyalty";"Retail store market";" 2,908738";"0,74370";" 3,91115";"9,1856e-05";"***";"0,44603154"
"Loyalty";"Household Cleaners (Haushaltsreiniger)";" 2,887125";"1,78584";" 1,61668";"1,0595e-01";"";"0,13321291"
"Loyalty";"Männerkosmetik";" 2,864194";"1,07078";" 2,67486";"7,4761e-03";"**";"0,34119938"
"Loyalty";"Second-hand apparel online shops";" 2,825668";"1,59401";" 1,77268";"7,6281e-02";".";"0,28591270"
"Loyalty";"Flaschenwasser (Bottled water)";" 2,692227";"1,07760";" 2,49835";"1,2477e-02";"*";"0,31853022"
"Loyalty";"Spirituosen";" 2,631912";"0,73149";" 3,59802";"3,2065e-04";"***";"0,42509620"
"Loyalty";"Food supplement market";" 2,608961";"1,44250";" 1,80864";"7,0506e-02";".";"0,13680154"
"Loyalty";"Kosmetik & Make-up";" 2,450578";"1,40473";" 1,74453";"8,1068e-02";".";"0,21407085"
"Loyalty";"Ice Cream Market";" 2,432139";"1,28048";" 1,89939";"5,7513e-02";".";"0,22981011"
"Loyalty";"Swim wear (Bademode)";" 2,300581";"1,59031";" 1,44663";"1,4800e-01";"";"0,14280607"
"Loyalty";"Toys & baby online shops";" 2,108393";"1,49527";" 1,41004";"1,5853e-01";"";"0,14661683"
"Loyalty";"accessory & bag market";" 2,095796";"1,19696";" 1,75093";"7,9957e-02";".";"0,12963901"
"Loyalty";"Hardware Stores (Baumärkte)";" 2,045597";"1,57877";" 1,29569";"1,9508e-01";"";"0,10695067"
"Loyalty";"Mode-Online-Shops";" 2,033039";"1,95450";" 1,04019";"2,9825e-01";"";"0,14990864"
"Loyalty";"Deodorants";" 2,025436";"1,13109";" 1,79069";"7,3344e-02";".";"0,15820105"
"Loyalty";"Zahnpastamarkt";" 2,016772";"1,37342";" 1,46843";"1,4199e-01";"";"0,13669002"
"Loyalty";"Milchmarkt";" 2,005643";"1,90217";" 1,05440";"2,9170e-01";"";"0,09241792"
"Loyalty";"DIY & garden online shops";" 1,970332";"1,46070";" 1,34890";"1,7737e-01";"";"0,13120311"
"Loyalty";"Kaffeemarkt";" 1,904980";"1,14387";" 1,66538";"9,5837e-02";".";"0,12599819"
"Loyalty";"Milchalternativenmarkt";" 1,871296";"1,74787";" 1,07062";"2,8434e-01";"";"0,09041051"
"Loyalty";"Gesichtspflege";" 1,870411";"1,42540";" 1,31220";"1,8945e-01";"";"0,09992226"
"Loyalty";"Soft Drinks";" 1,863627";"0,74446";" 2,50332";"1,2303e-02";"*";"0,30720310"
"Loyalty";"Salty snacks";" 1,851556";"1,22589";" 1,51038";"1,3095e-01";"";"0,13295349"
"Loyalty";"Energy drinks";" 1,783926";"1,20565";" 1,47964";"1,3897e-01";"";"0,18689675"
"Loyalty";"chocolate & candy bars";" 1,781960";"0,76585";" 2,32676";"1,9978e-02";"*";"0,24805268"
"Loyalty";"Fashion store market";" 1,773076";"1,20168";" 1,47550";"1,4008e-01";"";"0,11046972"
"Loyalty";"everyday fashion";" 1,660319";"0,73315";" 2,26463";"2,3536e-02";"*";"0,22086656"
"Loyalty";"Frühstückscerealien";" 1,613015";"1,36125";" 1,18495";"2,3604e-01";"";"0,08172194"
"Loyalty";"Schuhe";" 1,573599";"0,77124";" 2,04035";"4,1316e-02";"*";"0,21040248"
"Loyalty";"Brotaufstriche (Spread)";" 1,533216";"1,44647";" 1,05997";"2,8916e-01";"";"0,07934594"
"Loyalty";"Tiernahrung (pet food market)";" 1,477111";"1,11550";" 1,32417";"1,8545e-01";"";"0,08891019"
"Loyalty";"Beer";" 1,431070";"0,97067";" 1,47432";"1,4040e-01";"";"0,08513035"
"Loyalty";"Ready-made-food";" 1,322614";"1,46010";" 0,90584";"3,6502e-01";"";"0,05357637"
"Loyalty";"Saftmarkt";" 0,899328";"0,91974";" 0,97780";"3,2817e-01";"";"0,05611685"
"Loyalty";"Fashion online shop";" 0,811794";"1,23427";" 0,65771";"5,1072e-01";"";"0,02359388"
"Loyalty";"Beverage online shop market";" 0,748311";"1,28123";" 0,58406";"5,5918e-01";"";"0,02675746"
"Loyalty";"Cheese market";" 0,542393";"0,91138";" 0,59513";"5,5175e-01";"";"0,01769532"
"Loyalty";"Dishwashing Liquid (Spülmittel)";" 0,419556";"2,07333";" 0,20236";"8,3964e-01";"";"0,00252257"
"Loyalty";"Joghurt";" 0,037095";"1,08148";" 0,03430";"9,7264e-01";"";"0,00005793"
"Loyalty";"Iced tea Market";"-2,670485";"2,43538";"-1,09654";"2,7284e-01";"";"0,06333780"
"Loyalty";"Clean Beauty";"-3,817291";"2,20960";"-1,72760";"8,4061e-02";".";"0,12603177"
"Popularity";"Household Cleaners (Haushaltsreiniger)";" 9,378735";"1,12959";" 8,30280";"1,0169e-16";"***";"0,78285638"
"Popularity";"Laundry Detergent (Waschmittel)";" 7,756265";"0,81908";" 9,46948";"2,8125e-21";"***";"0,82677560"
"Popularity";"Sportswear";" 7,094614";"0,52412";"13,53616";"9,5665e-42";"***";"0,89960317"
"Popularity";"Sneakers/Sportschuhe";" 6,862853";"0,75804";" 9,05346";"1,3851e-19";"***";"0,79263214"
"Popularity";"beauty & health online shop market";" 6,446517";"1,09556";" 5,88422";"3,9994e-09";"***";"0,65895634"
"Popularity";"Zahnpastamarkt";" 6,364160";"0,99593";" 6,39016";"1,6571e-10";"***";"0,71195564"
"Popularity";"Organic food (Bio-Lebensmittel)";" 6,321228";"1,62638";" 3,88669";"1,0162e-04";"***";"0,46069609"
"Popularity";"Männerkosmetik";" 6,230945";"0,67026";" 9,29628";"1,4544e-20";"***";"0,82373571"
"Popularity";"Outdoor-Mode";" 6,217763";"0,95890";" 6,48423";"8,9184e-11";"***";"0,61416212"
"Popularity";"Sonnenbrillen";" 6,111615";"1,77062";" 3,45167";"5,5712e-04";"***";"0,40135084"
"Popularity";"Sauce & condiment market";" 6,032238";"1,11475";" 5,41129";"6,2571e-08";"***";"0,61211427"
"Popularity";"Rasierer & Klingen";" 6,011234";"0,59461";"10,10948";"5,0151e-24";"***";"0,82541967"
"Popularity";"Protein-Shakes & trinkfertige Mahlzeiten";" 5,857142";"0,61577";" 9,51192";"1,8717e-21";"***";"0,80727384"
"Popularity";"Gesichtspflege";" 5,834886";"0,81954";" 7,11967";"1,0818e-12";"***";"0,71228667"
"Popularity";"Kaffeemarkt";" 5,671182";"0,85346";" 6,64491";"3,0341e-11";"***";"0,68537445"
"Popularity";"Hardware Stores (Baumärkte)";" 5,669739";"0,85897";" 6,60064";"4,0938e-11";"***";"0,67482155"
"Popularity";"Joghurt";" 5,582312";"1,12566";" 4,95912";"7,0812e-07";"***";"0,55668769"
"Popularity";"Grocery stores (Lebensmittelläden)";" 5,532521";"0,40030";"13,82104";"1,9030e-43";"***";"0,93769351"
"Popularity";"Deodorants";" 5,521891";"1,04115";" 5,30366";"1,1350e-07";"***";"0,65567992"
"Popularity";"Schuhe";" 5,404171";"0,62795";" 8,60599";"7,5662e-18";"***";"0,76058389"
"Popularity";"Brotaufstriche (Spread)";" 5,389648";"0,93493";" 5,76477";"8,1771e-09";"***";"0,62520938"
"Popularity";"Swim wear (Bademode)";" 5,373618";"0,79019";" 6,80043";"1,0431e-11";"***";"0,65770677"
"Popularity";"Dishwashing Liquid (Spülmittel)";" 5,202401";"1,45806";" 3,56804";"3,5967e-04";"***";"0,41325515"
"Popularity";"Salty snacks";" 5,089732";"0,84805";" 6,00170";"1,9526e-09";"***";"0,64329214"
"Popularity";"chocolate & candy bars";" 5,053342";"0,69873";" 7,23218";"4,7532e-13";"***";"0,71680237"
"Popularity";"Ice Cream Market";" 4,920468";"1,19789";" 4,10762";"3,9976e-05";"***";"0,46902726"
"Popularity";"Consumer electronics online shop";" 4,913148";"0,63920";" 7,68640";"1,5133e-14";"***";"0,75246891"
"Popularity";"Retail store market";" 4,812059";"0,71069";" 6,77100";"1,2789e-11";"***";"0,71217341"
"Popularity";"Flaschenwasser (Bottled water)";" 4,797052";"0,63169";" 7,59399";"3,1021e-14";"***";"0,75241329"
"Popularity";"Cheese market";" 4,754002";"0,83090";" 5,72154";"1,0556e-08";"***";"0,62883223"
"Popularity";"Sport & Outdoor Online-Shop Markt";" 4,741549";"0,87829";" 5,39859";"6,7169e-08";"***";"0,58915166"
"Popularity";"Milchalternativenmarkt";" 4,732476";"0,84531";" 5,59851";"2,1620e-08";"***";"0,67414128"
"Popularity";"Ready-made-food";" 4,622330";"1,08082";" 4,27670";"1,8968e-05";"***";"0,48253348"
"Popularity";"Saftmarkt";" 4,590022";"1,02910";" 4,46024";"8,1866e-06";"***";"0,52039889"
"Popularity";"Fashion store market";" 4,568305";"0,82074";" 5,56605";"2,6058e-08";"***";"0,57201471"
"Popularity";"Spirituosen";" 4,565958";"0,78054";" 5,84975";"4,9231e-09";"***";"0,61864142"
"Popularity";"Soft Drinks";" 4,564967";"0,50938";" 8,96186";"3,1926e-19";"***";"0,80362137"
"Popularity";"Milchmarkt";" 4,552241";"1,25301";" 3,63304";"2,8010e-04";"***";"0,44709387"
"Popularity";"everyday fashion";" 4,408082";"0,62343";" 7,07070";"1,5415e-12";"***";"0,69414377"
"Popularity";"Fleischersatzprodukte";" 4,337402";"0,62339";" 6,95779";"3,4566e-12";"***";"0,73918457"
"Popularity";"Toys & baby online shops";" 4,331865";"0,83836";" 5,16708";"2,3779e-07";"***";"0,57554584"
"Popularity";"accessory & bag market";" 4,247708";"0,71751";" 5,92003";"3,2188e-09";"***";"0,62696013"
"Popularity";"Online-Shop für Heimtierbedarf";" 4,166343";"0,87684";" 4,75155";"2,0186e-06";"***";"0,56031444"
"Popularity";"Kosmetik & Make-up";" 4,010525";"0,83815";" 4,78498";"1,7101e-06";"***";"0,55380982"
"Popularity";"Fashion online shop";" 3,910337";"1,15971";" 3,37182";"7,4674e-04";"***";"0,38123245"
"Popularity";"DIY & garden online shops";" 3,906120";"0,79287";" 4,92656";"8,3689e-07";"***";"0,59868252"
"Popularity";"Iced tea Market";" 3,803119";"1,71312";" 2,22000";"2,6419e-02";"*";"0,26979496"
"Popularity";"Online Grocery & Meal Delivery";" 3,784598";"0,89196";" 4,24300";"2,2055e-05";"***";"0,53281548"
"Popularity";"Second-hand apparel online shops";" 3,733462";"0,71620";" 5,21287";"1,8594e-07";"***";"0,66967651"
"Popularity";"Frühstückscerealien";" 3,529721";"1,35834";" 2,59855";"9,3619e-03";"**";"0,28988725"
"Popularity";"Mode-Online-Shops";" 3,506368";"2,51532";" 1,39400";"1,6332e-01";"";"0,35031417"
"Popularity";"Energy drinks";" 3,176432";"0,74333";" 4,27327";"1,9263e-05";"***";"0,51500100"
"Popularity";"Beer";" 2,968746";"0,85956";" 3,45379";"5,5278e-04";"***";"0,37290660"
"Popularity";"Food supplement market";" 2,764811";"1,11863";" 2,47160";"1,3451e-02";"*";"0,21082724"
"Popularity";"Clean Beauty";" 2,644395";"1,21178";" 2,18224";"2,9091e-02";"*";"0,23385620"
"Popularity";"Beverage online shop market";" 1,965117";"1,02455";" 1,91803";"5,5107e-02";".";"0,14254224"
"Popularity";"Tiernahrung (pet food market)";" 1,082292";"0,81097";" 1,33456";"1,8202e-01";"";"0,07974061"
"Usage";"Household Cleaners (Haushaltsreiniger)";" 9,382287";"1,35895";" 6,90406";"5,0537e-12";"***";"0,73808398"
"Usage";"Sportswear";" 7,700690";"0,50245";"15,32626";"5,1059e-53";"***";"0,90517467"
"Usage";"Laundry Detergent (Waschmittel)";" 7,450403";"0,56496";"13,18754";"1,0351e-39";"***";"0,89799991"
"Usage";"Sneakers/Sportschuhe";" 7,069496";"0,62081";"11,38756";"4,8230e-30";"***";"0,84377359"
"Usage";"Organic food (Bio-Lebensmittel)";" 6,800789";"1,57029";" 4,33091";"1,4849e-05";"***";"0,51276957"
"Usage";"Sauce & condiment market";" 6,566581";"1,08771";" 6,03709";"1,5692e-09";"***";"0,66177260"
"Usage";"Grocery stores (Lebensmittelläden)";" 6,534266";"0,55054";"11,86886";"1,7178e-32";"***";"0,91593248"
"Usage";"beauty & health online shop market";" 6,427952";"0,91867";" 6,99699";"2,6153e-12";"***";"0,70933696"
"Usage";"Fashion store market";" 6,385153";"0,69618";" 9,17170";"4,6561e-20";"***";"0,76367262"
"Usage";"Zahnpastamarkt";" 6,375285";"0,82130";" 7,76244";"8,3310e-15";"***";"0,77763818"
"Usage";"Schuhe";" 6,247766";"0,72071";" 8,66886";"4,3646e-18";"***";"0,71814325"
"Usage";"Männerkosmetik";" 6,241069";"0,55255";"11,29497";"1,3895e-29";"***";"0,88300451"
"Usage";"chocolate & candy bars";" 6,231730";"0,69030";" 9,02755";"1,7557e-19";"***";"0,79279070"
"Usage";"Kaffeemarkt";" 6,125970";"0,82783";" 7,40007";"1,3612e-13";"***";"0,72648245"
"Usage";"Deodorants";" 6,071887";"1,08076";" 5,61819";"1,9297e-08";"***";"0,70174141"
"Usage";"Consumer electronics online shop";" 6,064798";"0,33209";"18,26261";"1,6424e-74";"***";"0,92829181"
"Usage";"Outdoor-Mode";" 5,984359";"0,89565";" 6,68155";"2,3643e-11";"***";"0,58159717"
"Usage";"Joghurt";" 5,775740";"1,00820";" 5,72878";"1,0116e-08";"***";"0,61890750"
"Usage";"Brotaufstriche (Spread)";" 5,671989";"0,87792";" 6,46072";"1,0421e-10";"***";"0,66904814"
"Usage";"Soft Drinks";" 5,615819";"0,63835";" 8,79746";"1,3995e-18";"***";"0,78129582"
"Usage";"Fashion online shop";" 5,571396";"0,93093";" 5,98476";"2,1671e-09";"***";"0,65030532"
"Usage";"Gesichtspflege";" 5,563583";"0,92383";" 6,02231";"1,7194e-09";"***";"0,65196565"
"Usage";"Clean Beauty";" 5,487628";"1,06420";" 5,15657";"2,5151e-07";"***";"0,61259771"
"Usage";"Retail store market";" 5,449193";"1,01180";" 5,38564";"7,2186e-08";"***";"0,62057650"
"Usage";"Mode-Online-Shops";" 5,422810";"1,52655";" 3,55233";"3,8184e-04";"***";"0,78506638"
"Usage";"Rasierer & Klingen";" 5,397080";"0,41234";"13,08902";"3,8051e-39";"***";"0,88130671"
"Usage";"Spirituosen";" 5,373937";"0,63814";" 8,42119";"3,7268e-17";"***";"0,75347272"
"Usage";"Toys & baby online shops";" 5,373050";"0,51765";"10,37975";"3,0657e-25";"***";"0,78841233"
"Usage";"Dishwashing Liquid (Spülmittel)";" 5,336555";"1,43094";" 3,72939";"1,9194e-04";"***";"0,43598370"
"Usage";"Salty snacks";" 5,322332";"0,87276";" 6,09827";"1,0722e-09";"***";"0,64474202"
"Usage";"Saftmarkt";" 5,311867";"0,87509";" 6,07009";"1,2784e-09";"***";"0,66072195"
"Usage";"Protein-Shakes & trinkfertige Mahlzeiten";" 5,130821";"0,31973";"16,04742";"5,9594e-58";"***";"0,91794539"
"Usage";"Ice Cream Market";" 5,085976";"1,02068";" 4,98295";"6,2624e-07";"***";"0,56782413"
"Usage";"Swim wear (Bademode)";" 4,984552";"0,58975";" 8,45194";"2,8651e-17";"***";"0,68891934"
"Usage";"everyday fashion";" 4,980111";"0,62646";" 7,94962";"1,8708e-15";"***";"0,73347569"
"Usage";"Sport & Outdoor Online-Shop Markt";" 4,901360";"0,47624";"10,29175";"7,6765e-25";"***";"0,80421090"
"Usage";"Flaschenwasser (Bottled water)";" 4,866308";"0,52259";" 9,31186";"1,2562e-20";"***";"0,81629157"
"Usage";"Ready-made-food";" 4,803276";"0,92371";" 5,19996";"1,9933e-07";"***";"0,57224850"
"Usage";"Milchalternativenmarkt";" 4,781226";"0,84945";" 5,62859";"1,8169e-08";"***";"0,68413968"
"Usage";"Cheese market";" 4,697736";"0,82389";" 5,70188";"1,1849e-08";"***";"0,63934434"
"Usage";"Milchmarkt";" 4,686134";"1,01944";" 4,59679";"4,2904e-06";"***";"0,54145731"
"Usage";"Kosmetik & Make-up";" 4,250102";"0,86097";" 4,93639";"7,9580e-07";"***";"0,56783448"
"Usage";"Sonnenbrillen";" 4,242617";"1,83505";" 2,31200";"2,0778e-02";"*";"0,26232571"
"Usage";"Hardware Stores (Baumärkte)";" 4,216987";"0,55376";" 7,61520";"2,6329e-14";"***";"0,75334602"
"Usage";"Fleischersatzprodukte";" 4,096290";"0,60657";" 6,75317";"1,4465e-11";"***";"0,70861053"
"Usage";"Iced tea Market";" 4,011963";"1,29418";" 3,10001";"1,9351e-03";"**";"0,42203211"
"Usage";"Frühstückscerealien";" 3,977416";"1,29319";" 3,07566";"2,1003e-03";"**";"0,36838984"
"Usage";"Online Grocery & Meal Delivery";" 3,974077";"0,79986";" 4,96843";"6,7495e-07";"***";"0,62139294"
"Usage";"Online-Shop für Heimtierbedarf";" 3,929886";"0,65218";" 6,02576";"1,6831e-09";"***";"0,63167879"
"Usage";"Beer";" 3,754123";"0,93447";" 4,01740";"5,8845e-05";"***";"0,43949484"
"Usage";"Energy drinks";" 3,654357";"0,58981";" 6,19577";"5,8001e-10";"***";"0,69947246"
"Usage";"DIY & garden online shops";" 3,616492";"0,52589";" 6,87685";"6,1189e-12";"***";"0,72794807"
"Usage";"Second-hand apparel online shops";" 3,396274";"0,56544";" 6,00641";"1,8967e-09";"***";"0,74598441"
"Usage";"accessory & bag market";" 3,063497";"0,96666";" 3,16916";"1,5288e-03";"**";"0,33064505"
"Usage";"Food supplement market";" 3,056584";"1,07229";" 2,85052";"4,3648e-03";"**";"0,25134857"
"Usage";"Beverage online shop market";" 2,094064";"0,76695";" 2,73038";"6,3261e-03";"**";"0,27125552"
"Usage";"Tiernahrung (pet food market)";" 1,560260";"1,20490";" 1,29493";"1,9535e-01";"";"0,07180508"
